"Supplied Name","guid","scientificName","family","kingdom","Index"
"Eucalyptus carnea","https://id.biodiversity.org.au/node/apni/2916005","Eucalyptus carnea","Myrtaceae",,"0"
"Eucalyptus microcorys","https://id.biodiversity.org.au/node/apni/2895329","Eucalyptus microcorys","Myrtaceae",,"1"
"Alphitonia excelsa","https://id.biodiversity.org.au/node/apni/2899524","Alphitonia excelsa","Rhamnaceae",,"2"
"Melaleuca quinquenervia","https://id.biodiversity.org.au/node/apni/2887514","Melaleuca quinquenervia","Myrtaceae",,"3"
"Eucalyptus tereticornis","https://id.biodiversity.org.au/taxon/apni/51290068","Eucalyptus tereticornis","Myrtaceae",,"5"
"Eucalyptus siderophloia","https://id.biodiversity.org.au/node/apni/2914381","Eucalyptus siderophloia","Myrtaceae",,"9"
"Eucalyptus racemosa","https://id.biodiversity.org.au/node/apni/2914136","Eucalyptus racemosa","Myrtaceae",,"12"
"Corymbia trachyphloia","https://id.biodiversity.org.au/node/apni/2897003","Corymbia trachyphloia","Myrtaceae",,"18"
"Eucalyptus littoralis","https://id.biodiversity.org.au/node/apni/2891244","Eucalyptus litoralis","Myrtaceae",,"20"
"Eucalyptus seeana","https://id.biodiversity.org.au/node/apni/2892322","Eucalyptus seeana","Myrtaceae",,"21"
"Angophora","https://id.biodiversity.org.au/taxon/apni/51258114","Angophora","Myrtaceae",,"22"
"Angophora woodsiana","https://id.biodiversity.org.au/node/apni/2895194","Angophora woodsiana","Myrtaceae",,"26"
"Lophostemon suaveolens","https://id.biodiversity.org.au/node/apni/2889131","Lophostemon suaveolens","Myrtaceae",,"27"
"Eucalyptus propinqua","https://id.biodiversity.org.au/node/apni/2906254","Eucalyptus propinqua","Myrtaceae",,"28"
"Lophostemon confertus","https://id.biodiversity.org.au/node/apni/2908951","Lophostemon confertus","Myrtaceae",,"29"
"Eucalyptus trachyphloia","https://id.biodiversity.org.au/node/apni/2897003","Corymbia trachyphloia","Myrtaceae",,"31"
"Corymbia intermedia","https://id.biodiversity.org.au/node/apni/2915125","Corymbia intermedia","Myrtaceae",,"33"
"Eucalyptus tindaliae","https://id.biodiversity.org.au/node/apni/2887103","Eucalyptus tindaliae","Myrtaceae",,"37"
"Eucalyptus moluccana","https://id.biodiversity.org.au/taxon/apni/51289954","Eucalyptus moluccana","Myrtaceae",,"51"
"Corymbia citriodora","https://id.biodiversity.org.au/node/apni/2912509","Corymbia citriodora","Myrtaceae",,"56"
"Eucalyptus resinifera","https://id.biodiversity.org.au/node/apni/2919306","Eucalyptus resinifera","Myrtaceae",,"62"
"Eucalyptus","https://id.biodiversity.org.au/taxon/apni/51302291","Eucalyptus","Myrtaceae",,"79"
"Cinnamomum camphora","https://id.biodiversity.org.au/node/apni/2903018","Cinnamomum camphora","Lauraceae",,"87"
"Eucalyptus robusta","https://id.biodiversity.org.au/node/apni/2904406","Eucalyptus robusta","Myrtaceae",,"131"
"Eucalyptus fibrosa","https://id.biodiversity.org.au/node/apni/7622844","Eucalyptus fibrosa","Myrtaceae",,"138"
"Eucalyptus maculata","https://id.biodiversity.org.au/node/apni/2914034","Corymbia maculata","Myrtaceae",,"157"
"Eucalyptus dunnii","https://id.biodiversity.org.au/node/apni/2914283","Eucalyptus dunnii","Myrtaceae",,"168"
"Grevillea robusta","https://id.biodiversity.org.au/node/apni/2918082","Grevillea robusta","Proteaceae",,"170"
"Corymbia Callistemon","https://id.biodiversity.org.au/name/apni/223867","Corymbia sect. Corymbia","Myrtaceae",,"172"
"Corymbia torelliana ","https://id.biodiversity.org.au/node/apni/2916678","Corymbia torelliana","Myrtaceae",,"175"
"Eucalyptus grandis","https://id.biodiversity.org.au/node/apni/5274818","Eucalyptus grandis","Myrtaceae",,"189"
"Eucalyptus curtisii","https://id.biodiversity.org.au/node/apni/2910275","Eucalyptus curtisii","Myrtaceae",,"190"
"Corymbia maculata","https://id.biodiversity.org.au/node/apni/2914034","Corymbia maculata","Myrtaceae",,"203"
"Eucalyptus crebra","https://id.biodiversity.org.au/node/apni/2892197","Eucalyptus crebra","Myrtaceae",,"204"
"Angophora leiocarpa","https://id.biodiversity.org.au/node/apni/2894339","Angophora leiocarpa","Myrtaceae",,"210"
"Eucalyptus acmeniodes","https://id.biodiversity.org.au/node/apni/2919575","Eucalyptus acmenoides","Myrtaceae",,"227"
"Corymbia henryi","https://id.biodiversity.org.au/node/apni/2889146","Corymbia henryi","Myrtaceae",,"231"
"Eucalyptus melanophloia","https://id.biodiversity.org.au/node/apni/6337070","Eucalyptus melanophloia","Myrtaceae",,"277"
"Corymbia tessellaris","https://id.biodiversity.org.au/node/apni/2918195","Corymbia tessellaris","Myrtaceae",,"285"
"Eucalyptus major","https://id.biodiversity.org.au/node/apni/2891580","Eucalyptus major","Myrtaceae",,"288"
"Casuarina glauca","https://id.biodiversity.org.au/node/apni/2893120","Casuarina glauca","Casuarinaceae",,"366"
"Acacia concurrens","https://id.biodiversity.org.au/node/apni/2892558","Acacia concurrens","Fabaceae",,"367"
"Eucalyptus eugenioides","https://id.biodiversity.org.au/node/apni/2908295","Eucalyptus eugenioides","Myrtaceae",,"404"
"Ficus sp.","https://id.biodiversity.org.au/name/apni/51303251","Ficus sp.","Moraceae",,"426"
"Glochidion ferdinandi","https://id.biodiversity.org.au/node/apni/2894353","Glochidion ferdinandi","Phyllanthaceae",,"460"
"Ficus benjamina","https://id.biodiversity.org.au/node/apni/2916589","Ficus benjamina","Moraceae",,"461"
"Ficus watkinsiana","https://id.biodiversity.org.au/node/apni/2890445","Ficus watkinsiana","Moraceae",,"481"
"Ficus macrophylla","https://id.biodiversity.org.au/node/apni/2892956","Ficus macrophylla","Moraceae",,"482"
"Melaleuca quinquenervia","https://id.biodiversity.org.au/node/apni/2887514","Melaleuca quinquenervia","Myrtaceae",,"501"
"Lophostemon","https://id.biodiversity.org.au/node/apni/2888397","Lophostemon","Myrtaceae",,"508"
"Eucalyptus pilularis","https://id.biodiversity.org.au/node/apni/2899127","Eucalyptus pilularis","Myrtaceae",,"516"
"Eucalyptus intermedia","https://id.biodiversity.org.au/node/apni/2915125","Corymbia intermedia","Myrtaceae",,"546"
"Melaleuca leucadendra","https://id.biodiversity.org.au/node/apni/2913904","Melaleuca leucadendra","Myrtaceae",,"548"
"Jacaranda","https://id.biodiversity.org.au/node/apni/2889767","Jacaranda","Bignoniaceae",,"593"
"Eucalyptus punctata","https://id.biodiversity.org.au/node/apni/2896580","Eucalyptus punctata","Myrtaceae",,"595"
